ts,load_mbps
2022-04-28 11:30:00,21367995.666666687
2022-04-28 11:45:00,21537785.666666687
2022-04-28 12:00:00,22313451.66666668
2022-04-28 12:15:00,22732166.666666646
2022-04-28 12:30:00,23205453.666666657
2022-04-28 12:45:00,23462276.333333343
2022-04-28 13:00:00,24032922.333333313
2022-04-28 13:15:00,24301775.333333325
2022-04-28 13:30:00,25043531.66666668
2022-04-28 13:45:00,25628922.333333332
2022-04-28 14:00:00,26541775.5
2022-04-28 14:15:00,27134961.5
2022-04-28 14:30:00,27376978.99999999
2022-04-28 14:45:00,27314829.33333335
2022-04-28 15:00:00,27784973.00000003
2022-04-28 15:15:00,28083543.666666653
2022-04-28 15:30:00,28565345.999999985
2022-04-28 15:45:00,28904432.333333343
2022-04-28 16:00:00,28859864.33333334
2022-04-28 16:15:00,28597387.666666664
2022-04-28 16:30:00,28475616.333333313
2022-04-28 16:45:00,28669960.66666665
2022-04-28 17:00:00,29105694.33333334
2022-04-28 17:15:00,29202757.333333347
2022-04-28 17:30:00,28387179.66666669
2022-04-28 17:45:00,28132413.000000037
2022-04-28 18:00:00,28317532.666666634
2022-04-28 18:15:00,28077529.66666667
2022-04-28 18:30:00,28327913.000000004
2022-04-28 18:45:00,29187800.99999999
2022-04-28 19:00:00,29178264.33333334
2022-04-28 19:15:00,29052049.333333332
2022-04-28 19:30:00,29422408.999999996
2022-04-28 19:45:00,29778455.999999993
2022-04-28 20:00:00,30242355.333333362
2022-04-28 20:30:00,29586029.333333332
2022-04-28 21:00:00,30923444.99999999
2022-04-28 21:15:00,30865297.99999999
2022-04-28 21:30:00,30370763.666666623
2022-04-28 21:45:00,30248687.333333343
2022-04-28 22:00:00,30578351.33333333
2022-04-28 22:15:00,30799046.999999978
2022-04-28 22:30:00,31018622.000000015
2022-04-28 22:45:00,30835675.66666667
2022-04-28 23:00:00,31584464.00000001
2022-04-28 23:15:00,32425328.333333313
2022-04-28 23:30:00,32877333.666666646
2022-04-28 23:45:00,33381292.66666664
2022-04-29 00:00:00,34663248.999999985
2022-04-29 00:15:00,35130754.33333335
2022-04-29 00:30:00,36256077.66666668
2022-04-29 00:45:00,36936521.33333331
2022-04-29 01:00:00,38234780.33333332
2022-04-29 01:15:00,39154245.66666667
2022-04-29 01:30:00,40559927.999999985
2022-04-29 01:45:00,40099629.999999985
2022-04-29 02:00:00,40287693.666666694
2022-04-29 02:15:00,40868852.33333334
2022-04-29 02:30:00,41625527.333333336
2022-04-29 02:45:00,41306956.000000015
2022-04-29 03:00:00,39317172.666666634
2022-04-29 03:15:00,38691116.000000015
2022-04-29 03:30:00,37844246.66666667
2022-04-29 03:45:00,36959539.33333334
2022-04-29 04:00:00,34890168.33333335
2022-04-29 04:15:00,33894829.00000002
2022-04-29 04:30:00,32251353.00000001
2022-04-29 04:45:00,31773677.333333313
2022-04-29 05:00:00,29521865.000000004
2022-04-29 05:15:00,28557862.666666664
2022-04-29 05:30:00,27537499.99999998
2022-04-29 05:45:00,26977322.000000015
2022-04-29 06:00:00,26908137.66666669
2022-04-29 06:15:00,26404401.33333336
2022-04-29 06:30:00,24470871.33333335
2022-04-29 06:45:00,23867734.666666683
2022-04-29 07:00:00,22362779.66666668
2022-04-29 07:15:00,21701423.666666668
2022-04-29 07:30:00,20809373.66666668
2022-04-29 07:45:00,20056920.33333333
2022-04-29 08:00:00,18779530.00000001
2022-04-29 08:15:00,18473122.666666646
2022-04-29 08:30:00,17766234.66666667
2022-04-29 08:45:00,17191044.333333336
2022-04-29 09:00:00,16253727.999999996
2022-04-29 09:15:00,16213871.666666666
2022-04-29 09:30:00,16067179.999999993
2022-04-29 09:45:00,16074449.999999993
2022-04-29 10:00:00,16280789.666666673
2022-04-29 10:15:00,16369331.33333334
2022-04-29 10:30:00,16954261.00000001
2022-04-29 10:45:00,17157285.333333336
2022-04-29 11:00:00,17220801.00000001
2022-04-29 11:15:00,17538830.00000001
2022-04-29 11:30:00,18497144.999999996
2022-04-29 11:45:00,19113158.00000002
2022-04-29 12:00:00,19743546.666666675
2022-04-29 12:15:00,19637619.333333336
2022-04-29 12:30:00,20686911.66666664
2022-04-29 12:45:00,21588919.999999996
2022-04-29 13:00:00,21761638.3333333
2022-04-29 13:15:00,21839732.666666653
2022-04-29 13:30:00,23127635.0
2022-04-29 13:45:00,23720182.333333332
2022-04-29 14:00:00,24326780.66666669
2022-04-29 14:15:00,23899525.666666627
2022-04-29 14:30:00,24120135.999999996
2022-04-29 14:45:00,24877241.66666668
2022-04-29 15:00:00,25268921.333333325
2022-04-29 15:15:00,25306800.333333325
2022-04-29 15:30:00,25685732.666666653
2022-04-29 15:45:00,26018588.66666665
2022-04-29 16:00:00,26083318.66666667
2022-04-29 16:15:00,25817133.66666667
2022-04-29 16:30:00,25843861.66666667
2022-04-29 16:45:00,26204036.333333347
2022-04-29 17:00:00,27134243.000000007
2022-04-29 17:15:00,27263539.000000004
2022-04-29 17:30:00,26989005.999999974
2022-04-29 17:45:00,27193958.666666646
2022-04-29 18:00:00,27280926.666666683
2022-04-29 18:15:00,27259198.999999993
2022-04-29 18:30:00,27363968.666666668
2022-04-29 18:45:00,27399043.666666657
2022-04-29 19:00:00,28012823.33333332
2022-04-29 19:15:00,28165166.6666667
2022-04-29 19:30:00,28527857.66666665
2022-04-29 19:45:00,29061905.00000004
2022-04-29 20:00:00,29564905.333333325
2022-04-29 20:15:00,29703547.99999999
2022-04-29 20:30:00,29994702.000000015
2022-04-29 20:45:00,29898035.5
2022-04-29 21:00:00,30487834.5
2022-04-29 21:15:00,30535047.66666666
2022-04-29 21:30:00,30660203.000000004
2022-04-29 21:45:00,30628827.333333343
2022-04-29 22:00:00,30348548.33333335
2022-04-29 22:15:00,30303906.666666668
2022-04-29 22:30:00,30749600.99999999
2022-04-29 22:45:00,30976675.00000002
2022-04-29 23:00:00,31402783.333333347
2022-04-29 23:15:00,31581164.999999978
2022-04-29 23:30:00,32124366.33333333
2022-04-29 23:45:00,32991078.33333332
2022-04-30 00:00:00,34049297.33333332
2022-04-30 00:15:00,34479841.00000001
2022-04-30 00:30:00,35628695.333333306
2022-04-30 00:45:00,36035431.0
2022-04-30 01:00:00,37669559.333333336
2022-04-30 01:15:00,38458963.999999985
2022-04-30 01:30:00,39718164.99999999
2022-04-30 01:45:00,40488794.333333306
